id,site,base_site_name,old_site,pulse,breeding_type,outcome,settlement_start,incubation_onset,brooding_onset,fledging_onset,fledgling_dispersal,abandon_date,partial_abandon_date,first_recording,last_recording,distance_to_colony,approx_colony_size,altitude,latitude,longitude,substrate
65471,2024 Panoche Creek Marsh East P1,2024 Panoche Creek Marsh East,2024 Panoche Creek Preserve - Dollar Marsh East P1,P1,Simple,Successful,inf,2024-04-17,2024-04-29,2024-05-09,2024-06-11,ND,ND,2024-04-15,2024-08-01,10,1250,313,36.5905,-120.7694,"Cattails, bulrush"
65471,2024 Panoche Creek Marsh East P2,2024 Panoche Creek Marsh East,2024 Panoche Creek Preserve - Dollar Marsh East P2,P2,Simple,Unknown,ND,~2024-05-27,~2024-06-08,ND,ND,ND,ND,2024-04-15,2024-08-01,10,1250,313,36.5905,-120.7694,"Cattails, bulrush"
65469,2024 Panoche Creek Marsh South P1,2024 Panoche Creek Marsh South,2024 Panoche Creek Preserve - Dollar Marsh South P1,P1,Simple,Successful,inf,2024-04-19,2024-05-01,2024-05-18,2024-06-03,ND,ND,2024-04-16,2024-08-01,NEED,300,317,36.5892,-120.7707,"Cattails, bulrush"
65470,2024 Panoche Creek Marsh West P1,2024 Panoche Creek Marsh West,2024 Panoche Creek Preserve - Dollar Marsh West P1,P1,Simple,Successful,inf,2024-04-23,2024-05-05,2024-05-14,2024-05-27,ND,ND,2024-04-15,2024-08-01,20,300,315,36.5919,-120.7723,"Cattails, bulrush"
63656,2024 Rancho Jamul - Main Pond 1 P1,2024 Rancho Jamul - Main Pond 1,2024 Rancho Jamul - Main Pond 1 P1,P1,Complex,Unknown,inf,2024-04-13,2024-04-25(E),ND,ND,ND,ND,2024-03-26,2024-08-07,NEED,NEED,236,,,NEED
63656,2024 Rancho Jamul - Main Pond 1 P2,2024 Rancho Jamul - Main Pond 1,2024 Rancho Jamul - Main Pond 1 P2,P2,Complex,Successful,2024-05-01,2024-05-15,2024-05-28(E),2024-06-09,2024-07-23,ND,ND,2024-03-26,2024-08-07,NEED,NEED,236,,,NEED
63657,2024 Rancho Jamul - Main Pond 2 P1,2024 Rancho Jamul - Main Pond 2,2024 Rancho Jamul - Main Pond 2 P1,P1,Complex,Successful,inf,2024-04-13,2024-04-25(E),ND,ND,ND,ND,2024-03-26,2024-07-06,NEED,NEED,236,,,NEED
63657,2024 Rancho Jamul - Main Pond 2 P2,2024 Rancho Jamul - Main Pond 2,2024 Rancho Jamul - Main Pond 2 P2,P2,Complex,Successful,2024-04-27,~2024-05-12,~2024-05-24,2024-06-09,ND,ND,ND,2024-03-26,2024-07-06,NEED,NEED,236,,,NEED
63468,2024 Rancho Jamul - North Pond,2024 Rancho Jamul - North Pond,2024 Rancho Jamul - North Pond,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,2024-03-27,2024-06-22,NEED,NEED,236,,,NEED
63738,2024 Sedgwick Reserve Pond P1,2024 Sedgwick Reserve Pond,2024 Sedgwick P1,P1,Asynchronous,Successful,inf,~2024-04-06,~2024-04-18,~2024-05-03,2024-06-10,ND,ND,2024-04-04,2024-08-04,2,300,343,34.695,-120.042,Cattails
63089,2024 San Jacinto Wildlife Area - Thistle Patch NE of Bridge Street Pond P1,2024 San Jacinto Wildlife Area - Thistle Patch NE of Bridge Street Pond,2024 SJWA Thistle NW of Bridge Street Pond P1,P1,Simple,Successful,inf,inf,inf,ND,ND,ND,ND,2024-06-05,2024-06-22,30,100,435,33.8643,-117.0695,Milk thistle
63116,2024 Washington State - Harder Spring P1,2024 Washington State - Harder Spring,2024 WA Harder Spring P1,P1,Sequential,Successful,missed,2024-05-26,2024-06-07,2024-06-25,2024-07-04,ND,ND,2024-03-25,2024-08-03,20,100,276,46.657,-118.499,"Bulrush, cattails, common reed"
63116,2024 Washington State - Harder Spring P2,2024 Washington State - Harder Spring,2024 WA Harder Spring P2,P2,Sequential,Successful,missed,~2024-07-04,~2024-07-16,2024-07-27,ND,ND,ND,2024-03-25,2024-08-03,20,100,276,46.657,-118.499,"Bulrush, cattails, common reed"
63465,2024 Washington State - McCain Wetlands P1,2024 Washington State - McCain Wetlands,2024 WA McCain Pond P1,P1,Simple,Partially Abandoned,missed,~2024-04-20,~2024-05-02,~2024-05-15,~2024-06-03,ND,2024-05-15,2024-03-29,2024-08-09,5,600,1244,48.852,-119.183,"Cattails, common reed"
65481,2024 Wind Wolves Preserve - Los Lobos P1,2024 Wind Wolves Preserve - Los Lobos,2024 Wind Wolves Preserve - Los Lobos P1,P1,Complex,Successful,inf,inf,inf,2024-05-11,2024-05-14,ND,ND,2024-04-30,2024-09-11,2,100,665,34.949,-119.215,Stinging nettle
65481,2024 Wind Wolves Preserve - Los Lobos P2,2024 Wind Wolves Preserve - Los Lobos,2024 Wind Wolves Preserve - Los Lobos P2,P2,Complex,Successful,inf,~2024-05-08,~2024-05-21(E),2024-06-02,2024-06-14,ND,ND,2024-04-30,2024-09-11,2,100,665,34.949,-119.215,Stinging nettle
65482,2024 Wind Wolves Preserve - Pleitito Creek P1,2024 Wind Wolves Preserve - Pleitito Creek,2024 Wind Wolves Preserve - Pleitito P1,P1,Complex,Successful,inf,inf,2024-04-16(E),2024-04-28,ND,ND,ND,2024-04-26,2024-08-11,2,35,817,34.9536,-119.1407,Stinging nettle
65482,2024 Wind Wolves Preserve - Pleitito Creek P2,2024 Wind Wolves Preserve - Pleitito Creek,2024 Wind Wolves Preserve - Pleitito P2,P2,Complex,Successful,missed,2024-05-13,2024-05-25,2024-06-03,2024-06-17,ND,ND,2024-04-26,2024-08-11,2,35,817,34.9536,-119.1407,Stinging nettle
65483,2024 Wind Wolves Preserve - Santiago Wetlands P1,2024 Wind Wolves Preserve - Santiago Wetlands,2024 Wind Wolves Preserve - Santiago P1,P1,Asynchronous,Successful,inf,inf,inf,2024-05-03,2024-07-02,ND,ND,2024-04-30,2024-08-31,40,275,741,34.9391,-119.2964,"Cattails, Stinging nettle"
65480,2024 Wind Wolves Preserve - Tevis P1,2024 Wind Wolves Preserve - Tevis,2024 Wind Wolves Preserve - Tevis P1,P1,Simple,Successful,inf,2024-04-21,2024-05-03,2024-05-17,2024-06-08,ND,ND,2024-04-30,2024-09-24,4,7,901,34.9446,-119.204,Stinging nettle
